"Team" "W" "L" "PTS" "PTS.G" "oppPTS" "oppPTS.G" "ptsDIFF" "ptsDIFF.G" "Playoffs" "Year" "G" "MP" "FG" "FGA" "FG_P" "x3P" "x3PA" "x3P_P" "x2P" "x2PA" "x2P_P" "FT" "FTA" "FT_P" "ORB" "DRB" "TRB" "AST" "STL" "BLK" "TOV"
"442" "San Antonio Spurs" 62 20 8639 105.4 8006 97.6 633 7.80000000000001 1 2014 82 19755 3326 6844 0.486 698 1757 0.397 2628 5087 0.517 1289 1642 0.785 762 2786 3548 2064 604 420 1180
"443" "Toronto Raptors" 48 34 8305 101.3 8039 98 266 3.3 1 2014 82 19955 2992 6718 0.445 713 1917 0.372 2279 4801 0.475 1608 2055 0.782 935 2552 3487 1737 577 343 1159
"444" "Utah Jazz" 25 57 7791 95 8379 102.2 -588 -7.2 0 2014 82 19780 2951 6652 0.444 543 1577 0.344 2408 5075 0.474 1346 1803 0.747 904 2477 3381 1664 570 366 1200
"445" "Washington Wizards" 44 38 8254 100.7 8150 99.4 104 1.3 1 2014 82 20055 3177 6920 0.459 647 1704 0.38 2530 5216 0.485 1253 1715 0.731 886 2573 3459 1909 668 377 1204
"446" "Atlanta Hawks" 60 22 8409 102.5 7964 97.1 445 5.40000000000001 1 2015 82 19730 3121 6699 0.466 818 2152 0.38 2303 4547 0.506 1349 1735 0.778 715 2611 3326 2111 744 380 1167
"447" "Boston Celtics" 40 42 8312 101.4 8299 101.2 13 0.200000000000003 1 2015 82 19880 3193 7211 0.443 660 2021 0.327 2533 5190 0.488 1266 1678 0.754 910 2685 3595 2009 674 294 1133
"448" "Brooklyn Nets" 38 44 8038 98 8274 100.9 -236 -2.90000000000001 1 2015 82 19930 3069 6804 0.451 541 1633 0.331 2528 5171 0.489 1359 1817 0.748 846 2627 3473 1716 576 340 1133
"449" "Charlotte Hornets" 33 49 7721 94.2 7981 97.3 -260 -3.09999999999999 0 2015 82 19905 2913 6932 0.42 498 1566 0.318 2415 5366 0.45 1397 1867 0.748 820 2793 3613 1654 499 448 976
"450" "Chicago Bulls" 50 32 8265 100.8 8019 97.8 246 3 1 2015 82 19880 3001 6797 0.442 645 1825 0.353 2356 4972 0.474 1618 2067 0.783 959 2792 3751 1781 514 476 1145
"451" "Cleveland Cavaliers" 53 29 8457 103.1 8090 98.7 367 4.39999999999999 1 2015 82 19780 3089 6739 0.458 826 2253 0.367 2263 4486 0.504 1453 1934 0.751 911 2612 3523 1814 603 340 1171
"452" "Dallas Mavericks" 50 32 8628 105.2 8390 102.3 238 2.90000000000001 1 2015 82 19880 3255 7036 0.463 732 2082 0.352 2523 4954 0.509 1386 1843 0.752 858 2608 3466 1846 663 371 1062
"453" "Denver Nuggets" 30 52 8320 101.5 8611 105 -291 -3.5 0 2015 82 19880 3099 7158 0.433 660 2032 0.325 2439 5126 0.476 1462 1991 0.734 1012 2653 3665 1788 641 367 1166
"454" "Detroit Pistons" 32 50 8077 98.5 8159 99.5 -82 -1 0 2015 82 19830 3041 7038 0.432 703 2043 0.344 2338 4995 0.468 1292 1838 0.703 1051 2630 3681 1771 623 383 1099
"455" "Golden State Warriors" 67 15 9016 110 8188 99.9 828 10.1 1 2015 82 19730 3410 7137 0.478 883 2217 0.398 2527 4920 0.514 1313 1709 0.768 853 2814 3667 2248 762 496 1185
"456" "Houston Rockets" 56 26 8522 103.9 8240 100.5 282 3.40000000000001 1 2015 82 19805 3032 6832 0.444 933 2680 0.348 2099 4152 0.506 1525 2133 0.715 958 2624 3582 1820 777 407 1366
"457" "Indiana Pacers" 38 44 7981 97.3 7958 97 23 0.299999999999997 0 2015 82 19855 2998 6824 0.439 612 1740 0.352 2386 5084 0.469 1373 1817 0.756 856 2822 3678 1757 505 375 1147
"458" "Los Angeles Clippers" 56 26 8751 106.7 8211 100.1 540 6.60000000000001 1 2015 82 19730 3228 6830 0.473 827 2202 0.376 2401 4628 0.519 1468 2067 0.71 784 2711 3495 2031 640 409 1012
"459" "Los Angeles Lakers" 21 61 8073 98.5 8634 105.3 -561 -6.8 0 2015 82 19930 3054 7020 0.435 532 1546 0.344 2522 5474 0.461 1433 1935 0.741 952 2647 3599 1715 578 366 1086
"460" "Memphis Grizzlies" 55 27 8062 98.3 7796 95.1 266 3.2 1 2015 82 19905 3097 6763 0.458 423 1246 0.339 2674 5517 0.485 1445 1869 0.773 856 2634 3490 1777 700 347 1094
"461" "Miami Heat" 37 45 7764 94.7 7977 97.3 -213 -2.59999999999999 0 2015 82 19730 2885 6330 0.456 556 1659 0.335 2329 4671 0.499 1438 1940 0.741 747 2461 3208 1626 642 372 1214
"462" "Milwaukee Bucks" 41 41 8023 97.8 7988 97.4 35 0.399999999999991 1 2015 82 19930 3083 6722 0.459 545 1500 0.363 2538 5222 0.486 1312 1734 0.757 876 2574 3450 1932 789 403 1373
"463" "Minnesota Timberwolves" 16 66 8016 97.8 8737 106.5 -721 -8.7 0 2015 82 19805 2986 6820 0.438 406 1223 0.332 2580 5597 0.461 1638 2110 0.776 949 2406 3355 1771 668 327 1231
"464" "New Orleans Pelicans" 45 37 8147 99.4 8082 98.6 65 0.800000000000011 1 2015 82 19780 3108 6795 0.457 586 1583 0.37 2522 5212 0.484 1345 1790 0.751 942 2621 3563 1806 553 510 1087
"465" "New York Knicks" 17 65 7535 91.9 8299 101.2 -764 -9.3 0 2015 82 19855 2882 6726 0.428 560 1614 0.347 2322 5112 0.454 1211 1575 0.769 867 2443 3310 1746 575 382 1206
"466" "Oklahoma City Thunder" 45 37 8524 104 8345 101.8 179 2.2 0 2015 82 19830 3184 7119 0.447 632 1864 0.339 2552 5255 0.486 1524 2020 0.754 1052 2844 3896 1681 598 454 1205
"467" "Orlando Magic" 25 57 7847 95.7 8316 101.4 -469 -5.7 0 2015 82 19755 3076 6792 0.453 554 1598 0.347 2522 5194 0.486 1141 1565 0.729 822 2607 3429 1692 647 314 1221
"468" "Philadelphia 76ers" 18 64 7542 92 8278 101 -736 -9 0 2015 82 19805 2765 6777 0.408 692 2160 0.32 2073 4617 0.449 1320 1953 0.676 978 2536 3514 1683 789 487 1453
"469" "Phoenix Suns" 39 43 8397 102.4 8471 103.3 -74 -0.899999999999991 0 2015 82 19880 3178 7038 0.452 698 2048 0.341 2480 4990 0.497 1343 1767 0.76 896 2643 3539 1659 700 385 1238
"470" "Portland Trail Blazers" 51 31 8429 102.8 8082 98.6 347 4.2 1 2015 82 19855 3175 7049 0.45 807 2231 0.362 2368 4818 0.491 1272 1589 0.801 879 2881 3760 1799 525 372 1117
"471" "Sacramento Kings" 29 53 8310 101.3 8614 105 -304 -3.7 0 2015 82 19855 3010 6617 0.455 461 1350 0.341 2549 5267 0.484 1829 2400 0.762 895 2728 3623 1667 550 324 1333
"472" "San Antonio Spurs" 55 27 8461 103.2 7953 97 508 6.2 1 2015 82 19955 3208 6854 0.468 677 1847 0.367 2531 5007 0.505 1368 1754 0.78 806 2772 3578 2000 657 444 1146
"473" "Toronto Raptors" 49 33 8527 104 8275 100.9 252 3.09999999999999 1 2015 82 19855 3108 6829 0.455 726 2060 0.352 2382 4769 0.499 1585 2014 0.787 881 2526 3407 1701 615 357 1057
"474" "Utah Jazz" 38 44 7801 95.1 7783 94.9 18 0.199999999999989 0 2015 82 19705 2900 6492 0.447 610 1781 0.343 2290 4711 0.486 1391 1929 0.721 988 2617 3605 1632 623 489 1256
"475" "Washington Wizards" 46 36 8080 98.5 8021 97.8 59 0.700000000000003 1 2015 82 19955 3139 6790 0.462 497 1381 0.36 2642 5409 0.488 1305 1758 0.742 862 2801 3663 1969 601 378 1233
"476" "Atlanta Hawks" 48 34 8433 102.8 8137 99.2 296 3.59999999999999 1 2016 82 19830 3168 6923 0.458 815 2326 0.35 2353 4597 0.512 1282 1638 0.783 679 2772 3451 2100 747 486 1226
"477" "Boston Celtics" 48 34 8669 105.7 8406 102.5 263 3.2 1 2016 82 19780 3216 7318 0.439 717 2142 0.335 2499 5176 0.483 1520 1929 0.788 950 2733 3683 1981 752 348 1127
"478" "Brooklyn Nets" 21 61 8089 98.6 8692 106 -603 -7.40000000000001 0 2016 82 19755 3136 6920 0.453 531 1508 0.352 2605 5412 0.481 1286 1699 0.757 863 2614 3477 1829 627 332 1212
"479" "Charlotte Hornets" 48 34 8479 103.4 8256 100.7 223 2.7 1 2016 82 19855 3036 6922 0.439 873 2410 0.362 2163 4512 0.479 1534 1941 0.79 734 2869 3603 1778 595 438 1030
"480" "Chicago Bulls" 42 40 8335 101.6 8456 103.1 -121 -1.5 0 2016 82 19905 3165 7170 0.441 651 1753 0.371 2514 5417 0.464 1354 1720 0.787 907 2889 3796 1870 495 470 1141
"481" "Cleveland Cavaliers" 57 25 8555 104.3 8063 98.3 492 6 1 2016 82 19855 3171 6888 0.46 880 2428 0.362 2291 4460 0.514 1333 1783 0.748 873 2777 3650 1861 551 317 1114
"482" "Dallas Mavericks" 42 40 8388 102.3 8413 102.6 -25 -0.299999999999997 1 2016 82 20005 3064 6900 0.444 806 2342 0.344 2258 4558 0.495 1454 1831 0.794 751 2781 3532 1813 560 306 1047
"483" "Denver Nuggets" 33 49 8355 101.9 8609 105 -254 -3.09999999999999 0 2016 82 19830 3093 7003 0.442 656 1943 0.338 2437 5060 0.482 1513 1974 0.766 941 2718 3659 1858 609 395 1202
"484" "Detroit Pistons" 44 38 8361 102 8311 101.4 50 0.599999999999994 1 2016 82 19880 3111 7087 0.439 740 2148 0.345 2371 4939 0.48 1399 2095 0.668 1021 2777 3798 1594 573 304 1110
"485" "Golden State Warriors" 73 9 9421 114.9 8539 104.1 882 10.8 1 2016 82 19880 3489 7159 0.487 1077 2592 0.416 2412 4567 0.528 1366 1790 0.763 816 2972 3788 2373 689 498 1245
"486" "Houston Rockets" 41 41 8737 106.5 8721 106.4 16 0.0999999999999943 1 2016 82 19830 3094 6847 0.452 878 2533 0.347 2216 4314 0.514 1671 2407 0.694 930 2601 3531 1821 821 430 1307
"487" "Indiana Pacers" 45 37 8377 102.2 8237 100.5 140 1.7 1 2016 82 19880 3142 6985 0.45 663 1889 0.351 2479 5096 0.486 1430 1872 0.764 847 2779 3626 1741 742 391 1219
"488" "Los Angeles Clippers" 53 29 8569 104.5 8218 100.2 351 4.3 1 2016 82 19830 3141 6759 0.465 797 2190 0.364 2344 4569 0.513 1490 2152 0.692 721 2727 3448 1873 709 460 1063
"489" "Los Angeles Lakers" 17 65 7982 97.3 8766 106.9 -784 -9.60000000000001 0 2016 82 19730 2880 6956 0.414 639 2016 0.317 2241 4940 0.454 1583 2028 0.781 878 2645 3523 1478 593 337 1124
"490" "Memphis Grizzlies" 42 40 8126 99.1 8310 101.3 -184 -2.2 1 2016 82 19830 3019 6859 0.44 504 1521 0.331 2515 5338 0.471 1584 2024 0.783 916 2497 3413 1697 724 350 1090
"491" "Miami Heat" 48 34 8204 100 8069 98.4 135 1.59999999999999 1 2016 82 19830 3150 6697 0.47 498 1480 0.336 2652 5217 0.508 1406 1889 0.744 807 2811 3618 1709 553 531 1155
"492" "Milwaukee Bucks" 33 49 8122 99 8465 103.2 -343 -4.2 0 2016 82 19830 3145 6740 0.467 440 1277 0.345 2705 5463 0.495 1392 1863 0.747 858 2559 3417 1895 672 475 1247
"493" "Minnesota Timberwolves" 29 53 8398 102.4 8688 106 -290 -3.59999999999999 0 2016 82 19880 3095 6668 0.464 455 1347 0.338 2640 5321 0.496 1753 2213 0.792 821 2587 3408 1916 656 375 1231
"494" "New Orleans Pelicans" 30 52 8423 102.7 8734 106.5 -311 -3.8 0 2016 82 19780 3153 7040 0.448 702 1951 0.36 2451 5089 0.482 1415 1823 0.776 782 2712 3494 1818 633 342 1102
"495" "New York Knicks" 32 50 8065 98.4 8289 101.1 -224 -2.69999999999999 0 2016 82 19805 3022 6886 0.439 610 1762 0.346 2412 5124 0.471 1411 1753 0.805 850 2788 3638 1682 467 466 1099
"496" "Oklahoma City Thunder" 55 27 9038 110.2 8441 102.9 597 7.3 1 2016 82 19830 3372 7082 0.476 678 1945 0.349 2694 5137 0.524 1616 2067 0.782 1071 2916 3987 1883 603 487 1305
"497" "Orlando Magic" 35 47 8369 102.1 8502 103.7 -133 -1.60000000000001 0 2016 82 19905 3242 7120 0.455 636 1818 0.35 2606 5302 0.492 1249 1649 0.757 843 2709 3552 1933 673 417 1155
"498" "Philadelphia 76ers" 10 72 7988 97.4 8827 107.6 -839 -10.2 0 2016 82 19805 2970 6887 0.431 764 2255 0.339 2206 4632 0.476 1284 1850 0.694 777 2605 3382 1765 680 495 1343
"499" "Phoenix Suns" 23 59 8271 100.9 8817 107.5 -546 -6.59999999999999 0 2016 82 19705 3051 7018 0.435 738 2118 0.348 2313 4900 0.472 1431 1905 0.751 943 2733 3676 1701 632 313 1410
"500" "Portland Trail Blazers" 44 38 8622 105.1 8554 104.3 68 0.799999999999997 1 2016 82 19805 3167 7040 0.45 864 2336 0.37 2303 4704 0.49 1424 1889 0.754 948 2782 3730 1748 562 380 1200
"501" "Sacramento Kings" 33 49 8740 106.6 8943 109.1 -203 -2.5 0 2016 82 19805 3283 7083 0.464 660 1839 0.359 2623 5244 0.5 1514 2089 0.725 868 2760 3628 2009 733 368 1326
"502" "San Antonio Spurs" 67 15 8490 103.5 7618 92.9 872 10.6 1 2016 82 19705 3289 6797 0.484 570 1518 0.375 2719 5279 0.515 1342 1672 0.803 770 2831 3601 2010 677 485 1071
"503" "Toronto Raptors" 56 26 8422 102.7 8053 98.2 369 4.5 1 2016 82 19780 3006 6669 0.451 708 1915 0.37 2298 4754 0.483 1702 2190 0.777 836 2724 3560 1536 636 449 1073
"504" "Utah Jazz" 40 42 8010 97.7 7863 95.9 147 1.8 0 2016 82 19955 2957 6593 0.449 694 1956 0.355 2263 4637 0.488 1402 1885 0.744 880 2665 3545 1555 631 425 1224
"505" "Washington Wizards" 41 41 8534 104.1 8575 104.6 -41 -0.5 0 2016 82 19755 3238 7033 0.46 709 1983 0.358 2529 5050 0.501 1349 1849 0.73 743 2688 3431 2005 708 323 1186
