"Team" "W" "L" "PTS" "PTS.G" "oppPTS" "oppPTS.G" "ptsDIFF" "ptsDIFF.G" "Playoffs" "Year" "G" "MP" "FG" "FGA" "FG_P" "x3P" "x3PA" "x3P_P" "x2P" "x2PA" "x2P_P" "FT" "FTA" "FT_P" "ORB" "DRB" "TRB" "AST" "STL" "BLK" "TOV"
"303" "Detroit Pistons" 27 55 7709 94 8128 99.1 -419 -5.09999999999999 0 2010 82 19780 2940 6602 0.445 374 1190 0.314 2566 5412 0.474 1455 1998 0.728 1053 2242 3295 1591 596 313 1100
"304" "Golden State Warriors" 26 56 8922 108.8 9217 112.4 -295 -3.60000000000001 0 2010 82 19730 3329 7094 0.469 633 1687 0.375 2696 5407 0.499 1631 2085 0.782 753 2397 3150 1839 761 340 1204
"305" "Houston Rockets" 42 40 8395 102.4 8425 102.7 -30 -0.299999999999997 0 2010 82 19905 3094 6923 0.447 646 1838 0.351 2448 5085 0.481 1561 2022 0.772 971 2471 3442 1790 583 318 1188
"306" "Indiana Pacers" 32 50 8263 100.8 8510 103.8 -247 -3 0 2010 82 19705 3020 6823 0.443 659 1896 0.348 2361 4927 0.479 1564 2019 0.775 785 2618 3403 1730 585 439 1232
"307" "Los Angeles Clippers" 29 53 7849 95.7 8370 102.1 -521 -6.39999999999999 0 2010 82 19705 3002 6601 0.455 483 1457 0.332 2519 5144 0.49 1362 1867 0.73 927 2502 3429 1810 532 466 1285
"308" "Los Angeles Lakers" 57 25 8339 101.7 7952 97 387 4.7 1 2010 82 19830 3144 6875 0.457 532 1562 0.341 2612 5313 0.492 1519 1985 0.765 973 2662 3635 1730 612 400 1096
"309" "Memphis Grizzlies" 40 42 8404 102.5 8528 104 -124 -1.5 0 2010 82 19905 3223 6875 0.469 344 1020 0.337 2879 5855 0.492 1614 2202 0.733 1070 2496 3566 1543 645 399 1248
"310" "Miami Heat" 47 35 7914 96.5 7727 94.2 187 2.3 1 2010 82 19880 2984 6518 0.458 494 1426 0.346 2490 5092 0.489 1452 1931 0.752 875 2553 3428 1548 605 457 1079
"311" "Milwaukee Bucks" 46 36 8009 97.7 7870 96 139 1.7 1 2010 82 19980 3050 6998 0.436 645 1813 0.356 2405 5185 0.464 1264 1675 0.755 965 2560 3525 1740 580 385 1085
"312" "Minnesota Timberwolves" 15 67 8051 98.2 8838 107.8 -787 -9.59999999999999 0 2010 82 19780 3106 6923 0.449 403 1181 0.341 2703 5742 0.471 1436 1926 0.746 962 2556 3518 1626 597 306 1333
"313" "New Jersey Nets" 12 70 7575 92.4 8323 101.5 -748 -9.09999999999999 0 2010 82 19780 2813 6554 0.429 377 1185 0.318 2436 5369 0.454 1572 2015 0.78 897 2358 3255 1540 573 393 1182
